school-transportation-cost,traffic-lights?,high-income-percentage,with-school-choice?,alpha,D-segregation,delta-Achievement
10,true,20,false,0.1,0.1692399172315283,0.014190300151781798
10,true,20,false,0.1,0.19264144332888605,-0.0034459192908222747
10,true,20,false,0.1,0.1889677388281028,0.06620964101371918
10,true,20,false,0.1,0.1847716672173599,-0.004009546123152852
10,true,20,false,0.1,0.19387590652699432,0.010890098679196214
10,true,20,false,0.1,0.16598684928516858,0.035391772061363014
10,true,20,false,0.1,0.15039533964617874,0.00867042592215661
10,true,20,false,0.1,0.1751795172259969,0.05951339561707414
10,true,20,false,0.1,0.18607707165700896,-0.06461403009582778
10,true,20,false,0.1,0.17758345331368047,0.010144477336322844
10,true,20,false,0.1,0.17806038055084614,0.012143827668510632
10,true,20,false,0.1,0.18548440065681443,0.0725064551120127
10,true,20,false,0.1,0.16718158567774938,-0.01863531180360134
10,true,20,false,0.1,0.2009612538214817,0.027187588573865717
10,true,20,false,0.1,0.16326998167184636,-0.07602419873941813
10,true,20,false,0.2,0.17092399179394302,-0.08325196125070278
10,true,20,false,0.2,0.2136219578024976,-0.045340959591968044
10,true,20,false,0.2,0.17935609571814848,0.0038061444954635704
10,true,20,false,0.2,0.19825110061204762,-0.0639093705174707
10,true,20,false,0.2,0.21111111111111117,0.03570318193855915
10,true,20,false,0.2,0.19118057215714393,-0.02599893549354526
10,true,20,false,0.2,0.14866210664791515,-0.026562747270624243
10,true,20,false,0.2,0.18734207397644054,0.014732726780927408
10,true,20,false,0.2,0.18894452087469288,0.07642661428118558
10,true,20,false,0.2,0.1817432495086982,-0.023738803028756195
10,true,20,false,0.2,0.20965852588217396,-0.07930399677856137
10,true,20,false,0.2,0.17886660866636728,-0.053546685798568916
10,true,20,false,0.2,0.18607799807027917,-0.007504008129284756
10,true,20,false,0.2,0.16879612768776478,0.004050814012183324
10,true,20,false,0.2,0.2116933851509999,9.91131169576498E-4
10,true,20,false,0.2,0.180295566502463,0.002729318170156425
10,true,20,false,0.2,0.19439567505938898,-0.011293621044750957
10,true,20,false,0.2,0.1904338968058612,1.1714607202328864E-4
10,true,20,false,0.2,0.17356066221892763,8.455196897827477E-5
10,true,20,false,0.2,0.19468702434894267,0.11667493023486841
10,true,20,false,0.2,0.18372680654990467,-0.009058616160389832
10,true,20,false,0.2,0.17206893187224317,0.009204043472783141
10,true,20,false,0.2,0.1885937163356805,0.032946027631855834
